日期,门店名称,门店id,省份,门店所在城市,区县市,营业收入,商品原价,包装费,顾客配送费（跑腿/自配送）,补贴及支出,商家活动支出,公益捐款,其它支出,优惠前总额,顾客实付,有效订单,实付单均价,活动补贴,平台活动补贴,平台服务费(含佣金和配送服务费),顾客实付（不含券）,实付单均价（不含券）,曝光人数,入店人数,入店转化率,下单转化率,曝光新客,入店新客,新客入店转化率,新客下单转化率,曝光老客,入店老客,老客入店转化率,老客下单转化率,曝光次数,入店次数,当日流量类型,7日流量类型,30日流量类型,下单人数,下单新客,下单老客,取消订单,商责取消订单,商责取消率,店铺分,高峰营业时长得分,优质商品率得分,有效活动丰富度得分,商家不接单率得分,差评回复率得分,在线联系回复率得分,商家评分得分,近30日日均高峰营业时长,优质商品率,有效活动丰富度,近30日商家不接单率,近30日差评回复率,近7日日均在线联系回复率,近30日日均商家评分,菜单丰富度得分,装修丰富度得分,服务功能丰富度得分,菜单丰富度,装修丰富度,服务功能丰富度,出餐完成上报率/配送准时率,基础营业时长得分,基础营业时长,出餐完成上报率得分/配送准时率得分,综合体验分,商品质量分,服务体验分,商品满意度,包装满意度,复购率指标得分,复购率,消息回复率指标得分,消息回复率,服务负反馈率指标得分,食品安全负反馈率指标得分,食品安全负反馈率
20260116,雪乡情东北菜（塘朗店）,8583807,广东省,深圳,南山区,5250.90,9157.80,336.00,0.00,4242.90,2369.66,1.68,276.09,9493.80,6819.04,168,40.59,3991.06,1621.40,1595.47,6419.84,38.21,7666,631,0.0823,0.2599,5643,338,0.0599,0.1213,2023,293,0.1448,0.4198,11192,657,高曝高转,高曝高转,高曝高转,164,41,123,4,0,0.0,97,92,97,0,100,100,0,96,6.9,97%,,--,100.0%,0%,4.8,100,100,100,分类数/菜品数/招牌菜,招牌/海报/老板推荐/进店必买,预订单/开发票/放心吃/准时宝,99.00%,98,7.9,100.00,4.8,4.7,4.7,4.8,4.8,4.4,0.2768,4.9,0.9884,4.6,5.0,1.65
20260114,雪乡情大地锅(信和广场店),13991691,广东省,深圳,南山区,2461.37,4563.80,67.00,0.00,2169.43,1277.93,0.00,89.12,4630.80,3187.57,104,30.65,1992.53,714.60,802.38,3187.57,30.65,4280,410,0.0958,0.2512,3337,241,0.0722,0.1245,943,169,0.1792,0.432,8894,583,高曝高转,高曝高转,高曝高转,103,30,73,3,0,0.0,96,90,88,0,100,100,0,94,6.8,88%,,--,100.0%,0%,4.7,100,100,100,分类数/菜品数/招牌菜,招牌/海报/老板推荐/进店必买,预订单/开发票/放心吃/准时宝,98.00%,100,7.4,100.00,4.7,4.6,4.7,4.8,4.8,4.5,0.2946,4.7,0.967,4.8,4.4,16.8
20260112,雪乡情铁锅炖（后海店）,8654929,广东省,深圳,南山区,128.90,303.30,7.00,0.00,181.40,128.08,0.00,11.02,310.30,163.92,7,23.42,173.08,45.00,42.30,163.92,23.42,774,47,0.0607,0.1489,724,41,0.0566,0.1463,50,6,0.12,0.1667,1102,55,低曝低转,低曝低转,低曝低转,7,6,1,0,0,0.0,64,29,95,0,100,0,0,78,2.2,95%,,--,0.0%,0%,3.9,100,100,60,分类数/菜品数/招牌菜,招牌/海报/老板推荐/进店必买,开发票/放心吃/准时宝,78.00%,0,3.5,86.67,3.8,3.9,3.4,3.8,3.8,3.0,0.1011,3.8,0.8,3.1,5.0,0.0
20260117,雪乡情大地锅(信和广场店),13991691,广东省,深圳,南山区,3648.82,6193.20,81.00,0.00,2625.38,1485.45,0.00,91.45,6274.20,4482.85,110,40.75,2338.25,852.80,1048.48,4482.85,40.75,5280,505,0.0956,0.2139,4263,337,0.0791,0.1246,1017,168,0.1652,0.3929,11209,688,高曝高转,高曝高转,高曝高转,108,42,66,4,0,0.0,96,90,88,0,98,100,0,94,6.8,88%,,0.12%,100.0%,0%,4.7,100,100,100,分类数/菜品数/招牌菜,招牌/海报/老板推荐/进店必买,预订单/开发票/放心吃/准时宝,99.00%,100,7.4,100.00,4.7,4.6,4.9,4.8,4.8,4.5,0.2919,4.8,0.977,5.0,4.4,16.94
20260116,雪乡情东北菜馆（梅林店）,19484981,广东省,深圳,福田区,4584.45,7845.90,280.00,0.00,3541.45,2099.06,0.00,143.71,8125.90,5826.94,139,41.92,3236.26,1137.20,1298.68,5654.54,40.68,5437,478,0.0879,0.2741,4174,273,0.0654,0.1648,1263,205,0.1623,0.4195,11719,671,高曝高转,高曝高转,高曝高转,131,45,86,1,0,0.0,94,92,95,0,100,75,0,94,6.9,95%,,--,75.0%,0%,4.7,100,100,100,分类数/菜品数/招牌菜,招牌/海报/老板推荐/热销/进店必买,预订单/开发票/放心吃/准时宝,96.00%,98,7.8,100.00,4.6,4.5,4.8,4.7,4.8,3.7,0.2105,5.0,1.0,4.7,4.9,4.86
20260113,雪乡情东北菜（马家龙店）,10254693,广东省,深圳,南山区,5969.34,10255.60,382.00,0.00,4668.26,2493.62,1.85,423.18,10637.60,8052.18,185,43.53,3954.72,1461.10,1749.61,7810.78,42.22,15901,955,0.0601,0.1885,13167,614,0.0466,0.0945,2734,341,0.1247,0.3578,11404,726,高曝高转,高曝高转,高曝高转,180,58,122,2,0,0.0,97,100,93,0,100,100,0,90,7.5,93%,,--,100.0%,0%,4.5,100,100,100,分类数/菜品数/招牌菜,招牌/海报/老板推荐/进店必买,预订单/开发票/放心吃/准时宝,100.00%,100,8.3,100.00,4.6,4.4,4.8,4.7,4.7,3.8,0.2186,4.7,0.9649,5.0,4.7,9.3
20260116,雪乡情东北菜（车公庙店）,10268419,广东省,深圳,福田区,6246.75,10450.40,397.00,0.00,4600.65,2685.66,1.78,204.01,10847.40,7630.94,178,42.87,3979.56,1293.90,1709.20,7526.94,42.29,7152,652,0.0912,0.2669,5298,378,0.0713,0.1429,1854,274,0.1478,0.438,13862,870,高曝高转,高曝高转,高曝高转,174,54,120,6,0,0.0,96,90,97,0,100,100,0,92,6.8,97%,,--,100.0%,0%,4.6,100,100,100,分类数/菜品数/招牌菜,招牌/海报/老板推荐/进店必买,预订单/开发票/放心吃/准时宝,99.00%,98,7.6,100.00,4.6,4.5,4.7,4.6,4.7,3.8,0.2197,4.5,0.9328,5.0,5.0,3.07
20260114,雪乡情铁锅炖（后海店）,8654929,广东省,深圳,南山区,73.81,181.80,4.00,0.00,111.99,77.41,0.00,7.90,185.80,95.99,4,24.00,111.31,33.90,26.68,95.99,24.00,893,71,0.0795,0.0563,834,61,0.0731,0.0164,59,10,0.1695,0.3,1392,83,低曝低转,低曝低转,低曝低转,4,1,3,0,0,0.0,75,29,95,0,100,100,0,76,2.2,95%,,--,100.0%,0%,3.8,100,100,60,分类数/菜品数/招牌菜,招牌/海报/老板推荐/进店必买,开发票/放心吃/准时宝,91.00%,0,3.5,100.00,3.8,3.9,3.5,3.8,3.8,3.0,0.0851,3.9,0.8333,3.1,5.0,0.0
20260114,雪乡情东北菜馆(壹方天地店),15784451,广东省,深圳,龙华区,4768.82,7672.50,292.00,0.00,3195.68,1637.69,1.25,196.78,7964.50,6223.91,125,49.79,2521.69,884.00,1359.96,6192.91,49.54,5957,592,0.0994,0.2095,4488,350,0.078,0.0971,1469,242,0.1647,0.3719,11270,863,高曝高转,高曝高转,高曝高转,124,34,90,2,0,0.0,94,94,88,0,100,92,0,86,7.1,88%,,--,92.9%,0%,4.3,100,100,100,分类数/菜品数/招牌菜,招牌/海报/老板推荐/热销/进店必买,预订单/开发票/放心吃/准时宝,98.00%,100,7.7,100.00,4.3,4.2,4.5,4.2,4.4,3.8,0.2157,4.9,0.9816,4.1,4.6,11.29
20260117,雪乡情东北菜馆(壹方天地店),15784451,广东省,深圳,龙华区,7481.85,11964.60,408.00,0.00,4890.75,2562.59,1.70,249.40,12372.60,9335.95,170,54.92,4120.09,1557.50,2077.06,9290.75,54.65,8179,806,0.0985,0.1998,6438,506,0.0786,0.0968,1741,300,0.1723,0.3733,15711,1267,高曝高转,高曝高转,高曝高转,161,49,112,7,0,0.0,94,94,88,0,100,93,0,86,7.1,88%,,--,93.1%,0%,4.3,100,100,100,分类数/菜品数/招牌菜,招牌/海报/老板推荐/热销/进店必买,预订单/开发票/放心吃/准时宝,99.00%,100,7.7,100.00,4.3,4.2,4.4,4.1,4.3,3.7,0.212,4.8,0.9809,4.1,4.7,9.83
